t,cpu_pct,mem_pct,accel_raw
27.79,1.680672268907563,14.484251486747755,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
28.94,1.694915254237288,14.487335111720222,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
30.09,0.8695652173913043,14.479797361787524,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
31.24,2.5210084033613445,14.484422799246225,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
32.4,5.042016806722689,14.469298352952693,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
33.55,6.557377049180328,14.477007415383863,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
34.7,1.7391304347826086,14.489146129561195,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
35.85,1.694915254237288,14.506106066909767,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
37.0,7.894736842105263,14.506130540123834,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
38.15,5.737704918032787,14.509214165096303,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
39.31,1.694915254237288,14.513839602555004,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
40.46,2.5210084033613445,14.505494236558087,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
41.61,4.310344827586207,14.513007513276719,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
42.76,5.084745762711864,14.514378013264482,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
43.91,13.114754098360656,14.588336066175572,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
45.07,3.3057851239669422,14.499106727686547,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
46.22,5.042016806722689,14.500183549105504,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
47.37,3.3333333333333335,14.50020802231957,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
48.53,2.586206896551724,14.483786495680478,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
49.68,2.5210084033613445,14.489611120628473,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
50.83,3.3057851239669422,14.49269474560094,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
51.98,5.785123966942149,14.49732018305964,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
53.13,2.5,14.500379334818042,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
54.29,2.5210084033613445,14.506326325836373,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
55.44,3.3333333333333335,14.50047722767431,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
56.59,4.132231404958677,14.486845647438878,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
57.74,1.680672268907563,14.497124397347104,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
58.9,1.694915254237288,14.497099924133037,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
60.05,2.5210084033613445,14.500183549105504,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
61.2,2.542372881355932,14.501725361591738,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
62.35,4.958677685950414,14.489757959912875,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
63.51,3.3333333333333335,14.489757959912875,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
64.66,2.542372881355932,14.442304397836567,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
65.81,7.563025210084033,14.442304397836567,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
66.96,4.132231404958677,14.448471647781503,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
68.12,2.5,14.437727906806002,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
69.27,1.7094017094017093,14.449891094197401,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
70.42,5.128205128205129,14.454516531656102,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
71.58,2.5210084033613445,14.455887031643865,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
72.73,4.166666666666667,14.442328871050636,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
73.88,2.542372881355932,14.442328871050636,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
75.03,1.694915254237288,14.42688627297423,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
76.18,2.5210084033613445,14.437091603240253,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
77.34,2.5,14.437091603240253,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
78.49,1.694915254237288,14.437116076454322,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
79.64,3.3333333333333335,14.438486576442084,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
80.79,14.52991452991453,14.451579745968038,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
81.95,0.8547008547008547,14.462812951224885,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
83.1,2.542372881355932,14.465896576197352,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
84.25,4.201680672268908,14.464305817282984,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
85.4,3.3333333333333335,14.449940040625535,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
86.56,1.680672268907563,14.446269058515455,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
87.71,2.542372881355932,14.4345953354054,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
88.86,1.694915254237288,14.4392207728641,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
90.01,6.666666666666667,14.442304397836567,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
91.17,6.6115702479338845,14.430483835442109,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
92.32,0.847457627118644,14.428942022955875,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
93.47,11.764705882352942,14.430165683659235,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
94.62,1.680672268907563,14.435060326472676,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
95.78,2.5210084033613445,14.441252049631679,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
96.93,4.166666666666667,14.447419299576614,"NPU load:  Core0:  0%, Core1:  0%, Core2:  0%,"
